model,item_id,family,pair_id,arm,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
deepseek-coder-6.7b,alias-0,alias,,,29,jlens,erase,0.0625,-1.9375,-2.0,0.03173108487679496
deepseek-coder-6.7b,alias-0,alias,,,29,rlens,erase,0.0625,-1.875,-1.9375,0.031124482385263844
deepseek-coder-6.7b,alias-0,alias,,,29,logit,erase,0.0625,-1.4375,-1.5,0.02281682969521841
deepseek-coder-6.7b,alias-0,alias,,,29,offtarget,erase,0.0625,2.125,2.0625,0.03330163655385766
deepseek-coder-6.7b,alias-0,alias,,,29,random,erase,0.0625,0.0625,0.0,0.02710857716411887
deepseek-coder-6.7b,alias-0,alias,,,30,jlens,erase,0.0625,-4.0625,-4.125,0.046364468022392316
deepseek-coder-6.7b,alias-0,alias,,,30,rlens,erase,0.0625,-4.0625,-4.125,0.046364468022392316
deepseek-coder-6.7b,alias-0,alias,,,30,logit,erase,0.0625,-4.0625,-4.125,0.046364468022392316
deepseek-coder-6.7b,alias-0,alias,,,30,offtarget,erase,0.0625,3.4375,3.375,0.04887781983705334
deepseek-coder-6.7b,alias-0,alias,,,30,random,erase,0.0625,0.0625,0.0,0.025946179897698835
deepseek-coder-6.7b,call-0,call,,,28,jlens,erase,8.125,7.09375,-1.03125,0.03502158648968658
deepseek-coder-6.7b,call-0,call,,,28,rlens,erase,8.125,7.21875,-0.90625,0.035438356283312246
deepseek-coder-6.7b,call-0,call,,,28,logit,erase,8.125,7.3125,-0.8125,0.03363744044969927
deepseek-coder-6.7b,call-0,call,,,28,offtarget,erase,8.125,7.8125,-0.3125,0.004230108101761808
deepseek-coder-6.7b,call-0,call,,,28,random,erase,8.125,8.03125,-0.09375,0.0019689064481798802
deepseek-coder-6.7b,call-0,call,,,29,jlens,erase,8.125,6.78125,-1.34375,0.058781190680770014
deepseek-coder-6.7b,call-0,call,,,29,rlens,erase,8.125,7.125,-1.0,0.05828480168904679
deepseek-coder-6.7b,call-0,call,,,29,logit,erase,8.125,7.0,-1.125,0.04697810476140335
deepseek-coder-6.7b,call-0,call,,,29,offtarget,erase,8.125,7.8125,-0.3125,0.004247476601117819
deepseek-coder-6.7b,call-0,call,,,29,random,erase,8.125,8.0625,-0.0625,0.0004155465701525434
deepseek-coder-6.7b,call-0,call,,,30,jlens,erase,8.125,2.53125,-5.59375,0.07371578191802547
deepseek-coder-6.7b,call-0,call,,,30,rlens,erase,8.125,2.53125,-5.59375,0.07371578191802547
deepseek-coder-6.7b,call-0,call,,,30,logit,erase,8.125,2.53125,-5.59375,0.07371578191802547
deepseek-coder-6.7b,call-0,call,,,30,offtarget,erase,8.125,7.625,-0.5,0.005554235440074405
deepseek-coder-6.7b,call-0,call,,,30,random,erase,8.125,8.09375,-0.03125,0.0005758795062474115
deepseek-coder-6.7b,arith-0,arith,,,28,jlens,erase,-1.5625,-1.6875,-0.125,0.007592725967447155
deepseek-coder-6.7b,arith-0,arith,,,28,rlens,erase,-1.5625,-1.6875,-0.125,0.008372185755169275
deepseek-coder-6.7b,arith-0,arith,,,28,logit,erase,-1.5625,-1.625,-0.0625,0.006151373433543585
deepseek-coder-6.7b,arith-0,arith,,,28,offtarget,erase,-1.5625,-1.4375,0.125,0.018408468793134364
deepseek-coder-6.7b,arith-0,arith,,,28,random,erase,-1.5625,-1.5625,0.0,0.0028089655163624962
deepseek-coder-6.7b,arith-0,arith,,,29,jlens,erase,-1.5625,-1.8125,-0.25,0.01809761044459749
deepseek-coder-6.7b,arith-0,arith,,,29,rlens,erase,-1.5625,-1.8125,-0.25,0.018312289258298378
deepseek-coder-6.7b,arith-0,arith,,,29,logit,erase,-1.5625,-1.6875,-0.125,0.010655018216019895
deepseek-coder-6.7b,arith-0,arith,,,29,offtarget,erase,-1.5625,-1.25,0.3125,0.03698613628478879
deepseek-coder-6.7b,arith-0,arith,,,29,random,erase,-1.5625,-1.5,0.0625,0.001307936658599456
deepseek-coder-6.7b,arith-0,arith,,,30,jlens,erase,-1.5625,-2.125,-0.5625,0.03322655304231537
deepseek-coder-6.7b,arith-0,arith,,,30,rlens,erase,-1.5625,-2.125,-0.5625,0.03322655304231537
deepseek-coder-6.7b,arith-0,arith,,,30,logit,erase,-1.5625,-2.125,-0.5625,0.03322655304231537
deepseek-coder-6.7b,arith-0,arith,,,30,offtarget,erase,-1.5625,-1.25,0.3125,0.05289198523099438
deepseek-coder-6.7b,arith-0,arith,,,30,random,erase,-1.5625,-1.5625,0.0,0.0014342095993877119
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,28,jlens,erase,3.5,3.375,-0.125,0.18161888329532686
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,28,rlens,erase,3.5,3.5,0.0,0.18847408212588146
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,28,logit,erase,3.5,3.625,0.125,0.17888784794837298
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,28,offtarget,erase,3.5,5.375,1.875,0.12488132783805717
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,28,random,erase,3.5,3.5,0.0,0.017136386697744116
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,29,jlens,erase,3.5,3.375,-0.125,0.21422476403426002
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,29,rlens,erase,3.5,3.5,0.0,0.2111552706638377
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,29,logit,erase,3.5,3.375,-0.125,0.2009114502139906
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,29,offtarget,erase,3.5,6.625,3.125,0.15112050292933357
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,29,random,erase,3.5,3.5,0.0,0.013067319991352381
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,30,jlens,erase,3.5,2.4375,-1.0625,0.21943102330945755
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,30,rlens,erase,3.5,2.4375,-1.0625,0.21943102330945755
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,30,logit,erase,3.5,2.4375,-1.0625,0.21943102330945755
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,30,offtarget,erase,3.5,7.75,4.25,0.15767534415654377
deepseek-coder-6.7b,binding-0-outer-answer,binding,binding-0,outer,30,random,erase,3.5,3.5,0.0,0.012291726775246163
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,28,jlens,erase,3.5,3.25,-0.25,0.20661572573437847
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,28,rlens,erase,3.5,3.375,-0.125,0.20757026387120056
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,28,logit,erase,3.5,3.5,0.0,0.19229253029168472
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,28,offtarget,erase,3.5,5.375,1.875,0.10379235699841774
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,28,random,erase,3.5,3.5,0.0,0.015976261176658034
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,29,jlens,erase,3.5,2.375,-1.125,0.23057260597271287
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,29,rlens,erase,3.5,2.75,-0.75,0.22361674022741057
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,29,logit,erase,3.5,2.75,-0.75,0.21462354400917483
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,29,offtarget,erase,3.5,6.125,2.625,0.1428543071467104
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,29,random,erase,3.5,3.5,0.0,0.01227829043829304
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,30,jlens,erase,3.5,2.0625,-1.4375,0.22320483837366684
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,30,rlens,erase,3.5,2.0625,-1.4375,0.22320483837366684
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,30,logit,erase,3.5,2.0625,-1.4375,0.22320483837366684
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,30,offtarget,erase,3.5,7.4375,3.9375,0.16568001190070822
deepseek-coder-6.7b,binding-0-inner-answer,binding,binding-0,inner,30,random,erase,3.5,3.5,0.0,0.007518531492388167
deepseek-coder-6.7b,defuse-0-answer,defuse,,,28,jlens,erase,2.375,1.625,-0.75,0.10637378074144886
deepseek-coder-6.7b,defuse-0-answer,defuse,,,28,rlens,erase,2.375,1.625,-0.75,0.12118353374132304
deepseek-coder-6.7b,defuse-0-answer,defuse,,,28,logit,erase,2.375,1.875,-0.5,0.1253758872602343
deepseek-coder-6.7b,defuse-0-answer,defuse,,,28,offtarget,erase,2.375,3.75,1.375,0.0884978498368302
deepseek-coder-6.7b,defuse-0-answer,defuse,,,28,random,erase,2.375,2.375,0.0,0.010311363223691616
deepseek-coder-6.7b,defuse-0-answer,defuse,,,29,jlens,erase,2.375,1.125,-1.25,0.1576575995559404
deepseek-coder-6.7b,defuse-0-answer,defuse,,,29,rlens,erase,2.375,1.375,-1.0,0.1605165449598978
deepseek-coder-6.7b,defuse-0-answer,defuse,,,29,logit,erase,2.375,1.5,-0.875,0.15046575269218518
deepseek-coder-6.7b,defuse-0-answer,defuse,,,29,offtarget,erase,2.375,4.625,2.25,0.12713342533651226
deepseek-coder-6.7b,defuse-0-answer,defuse,,,29,random,erase,2.375,2.375,0.0,0.008127580302546442
deepseek-coder-6.7b,defuse-0-answer,defuse,,,30,jlens,erase,2.375,0.5625,-1.8125,0.17260140288885026
deepseek-coder-6.7b,defuse-0-answer,defuse,,,30,rlens,erase,2.375,0.5625,-1.8125,0.17260140288885026
deepseek-coder-6.7b,defuse-0-answer,defuse,,,30,logit,erase,2.375,0.5625,-1.8125,0.17260140288885026
deepseek-coder-6.7b,defuse-0-answer,defuse,,,30,offtarget,erase,2.375,5.0625,2.6875,0.14385433904430467
deepseek-coder-6.7b,defuse-0-answer,defuse,,,30,random,erase,2.375,2.375,0.0,0.00971740617553943
deepseek-coder-6.7b,alias-0-answer,alias,,,28,jlens,erase,11.0,6.0,-5.0,0.20100561525997016
deepseek-coder-6.7b,alias-0-answer,alias,,,28,rlens,erase,11.0,5.375,-5.625,0.20329358079959978
deepseek-coder-6.7b,alias-0-answer,alias,,,28,logit,erase,11.0,6.0,-5.0,0.18978533999635827
