layer,threshold,n_test,n_both_fail,frac_positive_lead,mean_lead,mean_lead_ci_lo,mean_lead_ci_hi
-1,0.9879999756813048,70,32,0.0,-3.53125,-3.9375,-3.125
0,0.9980000257492064,70,30,0.0,-2.833333333333333,-3.3,-2.4
3,0.9950000047683716,70,40,0.0,-2.125,-2.75,-1.45
7,0.6690000295639038,70,59,0.0,-1.5423728813559323,-1.8983050847457628,-1.2033898305084745
11,0.8460000157356262,70,44,0.0,-2.022727272727273,-2.5681818181818183,-1.5
15,0.7310000061988831,70,20,0.0,-3.35,-3.95,-2.75
19,0.875,70,27,0.0,-1.4814814814814814,-2.2222222222222223,-0.7777777777777778
23,0.2129999995231628,70,3,0.0,-4.333333333333333,,
