split,subset,layer,position,lens,accuracy,accuracy_ci_lo,accuracy_ci_hi,n_rows,n_bases,mean_bound_rank,reversal_rate,reversal_ci_lo,reversal_ci_hi,paired_gap,paired_gap_ci_lo,paired_gap_ci_hi,n_pairs
calib,all,18,def_target,gram_random,0.55,0.48333333333333334,0.6166666666666667,120,30,3.2083333333333335,0.13333333333333333,0.03333333333333333,0.25,0.0018601541717847188,-0.017139986356099444,0.022253676553567244,60
calib,all,23,def_target,gram_random,0.5166666666666667,0.5,0.55,120,30,4.541666666666667,0.03333333333333333,0.0,0.1,0.017638459925850232,-0.01567077851233383,0.05249582963685193,60
calib,all,6,def_target,jlens,0.5,0.5,0.5,120,30,3.058333333333333,0.0,0.0,0.0,-0.0019105379780133566,-0.00420238030453523,0.00023551943401495462,60
calib,all,12,def_target,jlens,0.5166666666666667,0.5,0.55,120,30,2.025,0.03333333333333333,0.0,0.1,-0.003397888441880544,-0.009288392265637714,0.002629088064034777,60
calib,all,18,def_target,jlens,0.5,0.5,0.5,120,30,2.2916666666666665,0.0,0.0,0.0,0.0061460187037785845,-0.010080355716248353,0.021510803488393616,60
calib,all,23,def_target,jlens,0.5166666666666667,0.5,0.55,120,30,2.808333333333333,0.03333333333333333,0.0,0.1,0.054481521248817444,0.02259037492175897,0.08690537018080549,60
calib,all,6,def_target,logit,0.5,0.43333333333333335,0.5666666666666667,120,30,5.583333333333333,0.06666666666666667,0.0,0.16666666666666666,0.015598934888839722,-0.0637021928280592,0.09388133764887845,60
calib,all,12,def_target,logit,0.4666666666666667,0.425,0.5,120,30,4.683333333333334,0.0,0.0,0.0,-0.12437283098697663,-0.26047065426905947,0.01027401084701212,60
calib,all,18,def_target,logit,0.475,0.4083333333333333,0.5416666666666666,120,30,3.783333333333333,0.05,0.0,0.13333333333333333,0.18913299441337586,-0.2420249742269516,0.6012737027804045,60
calib,all,23,def_target,logit,0.5166666666666667,0.5,0.55,120,30,2.808333333333333,0.03333333333333333,0.0,0.1,1.6529398600260417,0.6850932852427165,2.636937007904052,60
calib,all,6,def_target,probe,1.0,1.0,1.0,120,30,,1.0,1.0,1.0,11.091663006941477,10.500090724627178,11.659786227246125,60
calib,all,12,def_target,probe,1.0,1.0,1.0,120,30,,1.0,1.0,1.0,11.89831207593282,11.381804783344268,12.451022915244101,60
calib,all,18,def_target,probe,1.0,1.0,1.0,120,30,,1.0,1.0,1.0,11.24789479970932,10.77205550511678,11.749762056966622,60
calib,all,23,def_target,probe,1.0,1.0,1.0,120,30,,1.0,1.0,1.0,11.094786298274993,10.419933618704476,11.812078494826952,60
calib,all,6,mutation,gram_random,0.48333333333333334,0.4,0.5666666666666667,120,30,4.791666666666667,0.1,0.0,0.23333333333333334,-0.0027439648906389873,-0.007935710474848746,0.002701009480903544,60
calib,all,12,mutation,gram_random,0.525,0.4166666666666667,0.6333333333333333,120,30,3.2083333333333335,0.21666666666666667,0.08333333333333333,0.36666666666666664,-0.002007065589229266,-0.01823165327931444,0.013667796505615112,60
calib,all,18,mutation,gram_random,0.5416666666666666,0.43333333333333335,0.6416666666666667,120,30,3.191666666666667,0.21666666666666667,0.08333333333333333,0.36666666666666664,0.021864445010821024,-0.003885497252146403,0.04586382317046318,60
calib,all,23,mutation,gram_random,0.4666666666666667,0.36666666666666664,0.5504166666666644,120,30,4.775,0.1,0.0,0.2,-0.00723380371928215,-0.07372452758563061,0.05615357177952921,60
calib,all,6,mutation,jlens,0.4666666666666667,0.4166666666666667,0.5,120,30,5.308333333333334,0.0,0.0,0.0,-0.007236631462971369,-0.012989658421526353,-0.0012948985025286683,60
calib,all,12,mutation,jlens,0.425,0.3416666666666667,0.5166666666666667,120,30,4.291666666666667,0.06666666666666667,0.0,0.16666666666666666,-0.02446337342262268,-0.03832421312729518,-0.010317333415150676,60
