model,condition,obf_level,obf_name,site,features,layer,condition_kind,condition_order,arm,relative_depth,breakdown,cell,accuracy,ci_lo,ci_hi,n,n_bases,n_pos,n_neg,pos_frac,frac_predicted_unsafe,acc_unsafe,acc_safe,false_negative_rate,false_positive_rate,pairs_same_label,delta_clean,delta_previous,delta_atomic
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,-1,clean,-1,embedding,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,-1,clean,-1,embedding,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,-1,clean,-1,embedding,,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,-1,clean,-1,embedding,,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,-1,clean,-1,embedding,,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,-1,clean,-1,embedding,,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,-1,clean,-1,embedding,,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,-1,clean,-1,embedding,,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,-1,baseline,0,embedding,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,-1,baseline,0,embedding,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,-1,baseline,0,embedding,,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,-1,baseline,0,embedding,,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,-1,baseline,0,embedding,,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,-1,baseline,0,embedding,,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,-1,baseline,0,embedding,,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,-1,baseline,0,embedding,,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,-1,atomic,11,embedding,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,-1,atomic,11,embedding,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,-1,atomic,11,embedding,,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,-1,atomic,11,embedding,,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,-1,atomic,11,embedding,,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,-1,atomic,11,embedding,,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,-1,atomic,11,embedding,,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,-1,atomic,11,embedding,,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,opaque_only,12,opaque_only,last_token,hidden,-1,atomic,12,embedding,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,opaque_only,12,opaque_only,last_token,hidden,-1,atomic,12,embedding,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,opaque_only,12,opaque_only,last_token,hidden,-1,atomic,12,embedding,,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,opaque_only,12,opaque_only,last_token,hidden,-1,atomic,12,embedding,,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,opaque_only,12,opaque_only,last_token,hidden,-1,atomic,12,embedding,,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,opaque_only,12,opaque_only,last_token,hidden,-1,atomic,12,embedding,,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,opaque_only,12,opaque_only,last_token,hidden,-1,atomic,12,embedding,,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,opaque_only,12,opaque_only,last_token,hidden,-1,atomic,12,embedding,,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,encode_only,13,encode_only,last_token,hidden,-1,atomic,13,embedding,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,encode_only,13,encode_only,last_token,hidden,-1,atomic,13,embedding,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,encode_only,13,encode_only,last_token,hidden,-1,atomic,13,embedding,,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,encode_only,13,encode_only,last_token,hidden,-1,atomic,13,embedding,,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,encode_only,13,encode_only,last_token,hidden,-1,atomic,13,embedding,,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,encode_only,13,encode_only,last_token,hidden,-1,atomic,13,embedding,,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,encode_only,13,encode_only,last_token,hidden,-1,atomic,13,embedding,,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,encode_only,13,encode_only,last_token,hidden,-1,atomic,13,embedding,,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,flatten_only,14,flatten_only,last_token,hidden,-1,atomic,14,embedding,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,flatten_only,14,flatten_only,last_token,hidden,-1,atomic,14,embedding,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,flatten_only,14,flatten_only,last_token,hidden,-1,atomic,14,embedding,,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,flatten_only,14,flatten_only,last_token,hidden,-1,atomic,14,embedding,,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,flatten_only,14,flatten_only,last_token,hidden,-1,atomic,14,embedding,,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,flatten_only,14,flatten_only,last_token,hidden,-1,atomic,14,embedding,,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,flatten_only,14,flatten_only,last_token,hidden,-1,atomic,14,embedding,,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,flatten_only,14,flatten_only,last_token,hidden,-1,atomic,14,embedding,,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,rename_cumulative,21,rename_cumulative,last_token,hidden,-1,cumulative,21,embedding,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_cumulative,21,rename_cumulative,last_token,hidden,-1,cumulative,21,embedding,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_cumulative,21,rename_cumulative,last_token,hidden,-1,cumulative,21,embedding,,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_cumulative,21,rename_cumulative,last_token,hidden,-1,cumulative,21,embedding,,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_cumulative,21,rename_cumulative,last_token,hidden,-1,cumulative,21,embedding,,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_cumulative,21,rename_cumulative,last_token,hidden,-1,cumulative,21,embedding,,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_cumulative,21,rename_cumulative,last_token,hidden,-1,cumulative,21,embedding,,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_cumulative,21,rename_cumulative,last_token,hidden,-1,cumulative,21,embedding,,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque,22,rename_opaque,last_token,hidden,-1,cumulative,22,embedding,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque,22,rename_opaque,last_token,hidden,-1,cumulative,22,embedding,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque,22,rename_opaque,last_token,hidden,-1,cumulative,22,embedding,,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque,22,rename_opaque,last_token,hidden,-1,cumulative,22,embedding,,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque,22,rename_opaque,last_token,hidden,-1,cumulative,22,embedding,,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque,22,rename_opaque,last_token,hidden,-1,cumulative,22,embedding,,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque,22,rename_opaque,last_token,hidden,-1,cumulative,22,embedding,,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque,22,rename_opaque,last_token,hidden,-1,cumulative,22,embedding,,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque_encode,23,rename_opaque_encode,last_token,hidden,-1,cumulative,23,embedding,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque_encode,23,rename_opaque_encode,last_token,hidden,-1,cumulative,23,embedding,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque_encode,23,rename_opaque_encode,last_token,hidden,-1,cumulative,23,embedding,,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque_encode,23,rename_opaque_encode,last_token,hidden,-1,cumulative,23,embedding,,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque_encode,23,rename_opaque_encode,last_token,hidden,-1,cumulative,23,embedding,,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque_encode,23,rename_opaque_encode,last_token,hidden,-1,cumulative,23,embedding,,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque_encode,23,rename_opaque_encode,last_token,hidden,-1,cumulative,23,embedding,,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque_encode,23,rename_opaque_encode,last_token,hidden,-1,cumulative,23,embedding,,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque_encode_flatten,24,rename_opaque_encode_flatten,last_token,hidden,-1,cumulative,24,embedding,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque_encode_flatten,24,rename_opaque_encode_flatten,last_token,hidden,-1,cumulative,24,embedding,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque_encode_flatten,24,rename_opaque_encode_flatten,last_token,hidden,-1,cumulative,24,embedding,,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque_encode_flatten,24,rename_opaque_encode_flatten,last_token,hidden,-1,cumulative,24,embedding,,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque_encode_flatten,24,rename_opaque_encode_flatten,last_token,hidden,-1,cumulative,24,embedding,,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque_encode_flatten,24,rename_opaque_encode_flatten,last_token,hidden,-1,cumulative,24,embedding,,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque_encode_flatten,24,rename_opaque_encode_flatten,last_token,hidden,-1,cumulative,24,embedding,,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,rename_opaque_encode_flatten,24,rename_opaque_encode_flatten,last_token,hidden,-1,cumulative,24,embedding,,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,0,clean,-1,hidden_state,0.0,all,all,0.5069444444444444,0.4305555555555556,0.5763888888888888,144,72,72,72,0.5,0.4930555555555556,0.5,0.5138888888888888,0.5,0.48611111111111116,0.625,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,0,clean,-1,hidden_state,0.0,family,command_exec,0.3958333333333333,0.2708333333333333,0.5,48,24,24,24,0.5,0.5625,0.4583333333333333,0.3333333333333333,0.5416666666666667,0.6666666666666667,0.625,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,0,clean,-1,hidden_state,0.0,family,dynamic_exec,0.5625,0.4375,0.6875,48,24,24,24,0.5,0.4791666666666667,0.5416666666666666,0.5833333333333334,0.45833333333333337,0.41666666666666663,0.625,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,0,clean,-1,hidden_state,0.0,family,sql_exec,0.5625,0.4375,0.6875,48,24,24,24,0.5,0.4375,0.5,0.625,0.5,0.375,0.625,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,0,clean,-1,hidden_state,0.0,structure,assign_chain,0.5555555555555556,0.4166666666666667,0.6944444444444444,36,18,18,18,0.5,0.5555555555555556,0.6111111111111112,0.5,0.38888888888888884,0.5,0.6666666666666666,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,0,clean,-1,hidden_state,0.0,structure,branch_merge,0.4444444444444444,0.3055555555555556,0.5833333333333334,36,18,18,18,0.5,0.3333333333333333,0.2777777777777778,0.6111111111111112,0.7222222222222222,0.38888888888888884,0.5555555555555556,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,0,clean,-1,hidden_state,0.0,structure,direct,0.4722222222222222,0.3333333333333333,0.5833333333333334,36,18,18,18,0.5,0.5833333333333334,0.5555555555555556,0.3888888888888889,0.4444444444444444,0.6111111111111112,0.7222222222222222,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,0,clean,-1,hidden_state,0.0,structure,helper,0.5555555555555556,0.4166666666666667,0.7222222222222222,36,18,18,18,0.5,0.5,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.0,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,0,baseline,0,hidden_state,0.0,all,all,0.5,0.5,0.5,144,72,72,72,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.00694444444444442,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,0,baseline,0,hidden_state,0.0,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.10416666666666669,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,0,baseline,0,hidden_state,0.0,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.0625,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,0,baseline,0,hidden_state,0.0,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.0625,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,0,baseline,0,hidden_state,0.0,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.05555555555555558,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,0,baseline,0,hidden_state,0.0,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.05555555555555558,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,0,baseline,0,hidden_state,0.0,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.02777777777777779,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,0,baseline,0,hidden_state,0.0,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.05555555555555558,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,0,atomic,11,hidden_state,0.0,all,all,0.5,0.5,0.5,144,72,72,72,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.00694444444444442,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,0,atomic,11,hidden_state,0.0,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.10416666666666669,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,0,atomic,11,hidden_state,0.0,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.0625,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,0,atomic,11,hidden_state,0.0,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.0625,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,0,atomic,11,hidden_state,0.0,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.05555555555555558,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,0,atomic,11,hidden_state,0.0,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.05555555555555558,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,0,atomic,11,hidden_state,0.0,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.02777777777777779,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,0,atomic,11,hidden_state,0.0,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.05555555555555558,,
starcoder2-3b,opaque_only,12,opaque_only,last_token,hidden,0,atomic,12,hidden_state,0.0,all,all,0.5,0.5,0.5,144,72,72,72,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.00694444444444442,,
starcoder2-3b,opaque_only,12,opaque_only,last_token,hidden,0,atomic,12,hidden_state,0.0,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.10416666666666669,,
starcoder2-3b,opaque_only,12,opaque_only,last_token,hidden,0,atomic,12,hidden_state,0.0,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.0625,,
starcoder2-3b,opaque_only,12,opaque_only,last_token,hidden,0,atomic,12,hidden_state,0.0,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.0625,,
starcoder2-3b,opaque_only,12,opaque_only,last_token,hidden,0,atomic,12,hidden_state,0.0,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.05555555555555558,,
starcoder2-3b,opaque_only,12,opaque_only,last_token,hidden,0,atomic,12,hidden_state,0.0,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.05555555555555558,,
starcoder2-3b,opaque_only,12,opaque_only,last_token,hidden,0,atomic,12,hidden_state,0.0,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.02777777777777779,,
starcoder2-3b,opaque_only,12,opaque_only,last_token,hidden,0,atomic,12,hidden_state,0.0,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.05555555555555558,,
starcoder2-3b,encode_only,13,encode_only,last_token,hidden,0,atomic,13,hidden_state,0.0,all,all,0.5,0.5,0.5,144,72,72,72,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.00694444444444442,,
starcoder2-3b,encode_only,13,encode_only,last_token,hidden,0,atomic,13,hidden_state,0.0,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.10416666666666669,,
starcoder2-3b,encode_only,13,encode_only,last_token,hidden,0,atomic,13,hidden_state,0.0,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.0625,,
starcoder2-3b,encode_only,13,encode_only,last_token,hidden,0,atomic,13,hidden_state,0.0,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.0625,,
starcoder2-3b,encode_only,13,encode_only,last_token,hidden,0,atomic,13,hidden_state,0.0,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.05555555555555558,,
starcoder2-3b,encode_only,13,encode_only,last_token,hidden,0,atomic,13,hidden_state,0.0,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.05555555555555558,,
starcoder2-3b,encode_only,13,encode_only,last_token,hidden,0,atomic,13,hidden_state,0.0,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.02777777777777779,,
starcoder2-3b,encode_only,13,encode_only,last_token,hidden,0,atomic,13,hidden_state,0.0,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.05555555555555558,,
starcoder2-3b,flatten_only,14,flatten_only,last_token,hidden,0,atomic,14,hidden_state,0.0,all,all,0.5,0.5,0.5,144,72,72,72,0.5,0.0,0.0,1.0,1.0,0.0,1.0,-0.00694444444444442,,
