model,split,scope,style,variant,cell,kind,accuracy,ci_lo,ci_hi,n,n_bases,mean_margin_correct,margin_ci_lo,margin_ci_hi,says_inner_rate,argmax_is_a_choice,chance,above_chance,verbalised
deepseek-coder-1.3b,test,cell,binding,,ab_source,word,0.0,0.0,0.0,280,140,-0.5848351243351188,-0.6102873718605509,-0.5583702785441917,1.0,1.0,0.5,0,0
deepseek-coder-1.3b,test,cell,binding,,ab_target,word,1.0,1.0,1.0,280,140,0.7815178865832942,0.7574361451608793,0.8050386547323848,1.0,1.0,0.5,1,1
deepseek-coder-1.3b,test,cell,binding,,ba_source,word,0.0,0.0,0.0,280,140,-0.5876641476792949,-0.6127270886275386,-0.5613032916773644,1.0,1.0,0.5,0,0
deepseek-coder-1.3b,test,cell,binding,,ba_target,word,1.0,1.0,1.0,280,140,0.7843109758836883,0.7580749065322535,0.8090282819020961,1.0,1.0,0.5,1,1
deepseek-coder-1.3b,test,cell,pyscope,,ab_source,word,0.0,0.0,0.0,280,140,-1.3582500604646546,-1.37483404087701,-1.3409291411670192,1.0,1.0,0.5,0,0
deepseek-coder-1.3b,test,cell,pyscope,,ab_target,word,1.0,1.0,1.0,280,140,1.545217468908855,1.5304572049421923,1.5592440276486534,1.0,1.0,0.5,1,1
deepseek-coder-1.3b,test,cell,pyscope,,ba_source,word,0.0,0.0,0.0,280,140,-1.3589340371744973,-1.375680382001613,-1.341711055024394,1.0,1.0,0.5,0,0
deepseek-coder-1.3b,test,cell,pyscope,,ba_target,word,1.0,1.0,1.0,280,140,1.5495498122913496,1.5344746304569499,1.5643131493457727,1.0,1.0,0.5,1,1
deepseek-coder-1.3b,test,cell,scope,,ab_source,word,0.4857142857142857,0.4714285714285714,0.49642857142857144,280,140,-0.6911685975534575,-0.7138412297996027,-0.6683902843030436,0.5142857142857142,1.0,0.5,0,0
deepseek-coder-1.3b,test,cell,scope,,ab_target,word,0.525,0.5071428571428571,0.5428571428571428,280,140,0.648415815617357,0.6254461736072386,0.6702265617570707,0.525,1.0,0.5,1,0
deepseek-coder-1.3b,test,cell,scope,,ba_source,word,0.48928571428571427,0.475,0.5,280,140,-0.6897160527961594,-0.7125056890557919,-0.6669257869890758,0.5107142857142857,1.0,0.5,0,0
deepseek-coder-1.3b,test,cell,scope,,ba_target,word,0.525,0.5071428571428571,0.5428571428571428,280,140,0.6455625891685486,0.6233796179188149,0.6676249867997,0.525,1.0,0.5,1,0
deepseek-coder-1.3b,test,cell,shadow,,ab_source,word,0.5,0.5,0.5,280,140,0.11781437801463264,0.11246426070375103,0.12355125347950628,0.5,1.0,0.5,0,0
deepseek-coder-1.3b,test,cell,shadow,,ab_target,word,0.5,0.5,0.5,280,140,-0.0740898888025965,-0.07904720880623375,-0.06940182925867183,0.5,1.0,0.5,0,0
deepseek-coder-1.3b,test,cell,shadow,,ba_source,word,0.5,0.5,0.5,280,140,0.11698522078139441,0.11142966101744345,0.12279452438865389,0.5,1.0,0.5,0,0
deepseek-coder-1.3b,test,cell,shadow,,ba_target,word,0.5,0.5,0.5,280,140,-0.07267974742821284,-0.07751793056726455,-0.06783021779464823,0.5,1.0,0.5,0,0
deepseek-coder-1.3b,test,cell,value,,ab_source,value,1.0,1.0,1.0,140,140,1.7948847794639213,1.6990516053978353,1.8865474807670606,0.0,0.9857142857142858,0.5,1,1
deepseek-coder-1.3b,test,cell,value,,ab_target,value,0.5785714285714286,0.4998214285714286,0.6642857142857143,140,140,0.12170677770461355,0.01654026275234563,0.22518970905670097,0.5785714285714286,1.0,0.5,0,0
deepseek-coder-1.3b,test,cell,value,,ba_source,value,1.0,1.0,1.0,140,140,1.7422946670225687,1.6398252440669705,1.8396522980369627,0.0,1.0,0.5,1,1
deepseek-coder-1.3b,test,cell,value,,ba_target,value,0.6642857142857143,0.5857142857142857,0.7428571428571429,140,140,0.3006732952914068,0.18886486780696682,0.4125978652946651,0.6642857142857143,1.0,0.5,1,1
deepseek-coder-1.3b,test,style,binding,,,word,0.5,0.5,0.5,1120,140,0.09833239761314222,0.0895599811005273,0.10687481136393866,1.0,1.0,0.5,0,0
deepseek-coder-1.3b,test,style,pyscope,,,word,0.5,0.5,0.5,1120,140,0.09439579589026315,0.08901608081534504,0.0998175222426653,1.0,1.0,0.5,0,0
deepseek-coder-1.3b,test,style,scope,,,word,0.50625,0.4982142857142857,0.5151785714285714,1120,140,-0.02172656139092786,-0.029762827229819128,-0.01385448047492121,0.51875,1.0,0.5,0,0
deepseek-coder-1.3b,test,style,shadow,,,word,0.5,0.5,0.5,1120,140,0.022007490641304424,0.020615035413897462,0.02346666440899883,0.5,1.0,0.5,0,0
deepseek-coder-1.3b,test,style,value,,,value,0.8107142857142857,0.7803571428571429,0.8392857142857143,560,140,0.9898898798706276,0.9341715509397909,1.0404669854430746,0.3107142857142857,0.9964285714285714,0.5,1,1
deepseek-coder-1.3b,test,variant,binding,direct,,word,0.5,0.5,0.5,560,140,0.11798575435365949,0.11020456002359943,0.12566907573092198,1.0,1.0,0.5,0,0
