split,position,site,contrast,delta,ci_lo,ci_hi,n_rows,n_bases,clens_exceeds_control
test,use,all,clens_value - logit_value,0.000595238520985558,-0.0004745642494942461,0.0017020116205371562,1680,70,False
test,use,all,clens_value - gram_random,0.000437126752166521,-0.0007628797451477675,0.001729907335802203,1680,70,False
test,use,all,clens_value - noop_same_value,0.0011160709318660555,-7.463920240600903e-05,0.002297247176812518,1680,70,False
test,use,all,clens_value - clens_answer,-0.0011160721558900106,-0.002241442117485262,-3.720364045529138e-05,1680,70,False
test,use,all,clens_value - clens_offvalue,-0.000976562588697388,-0.002129836190225823,0.00013974145498304012,1680,70,False
test,use,all,clens_value - whole_state,-0.5974051348155454,-0.6792464201223283,-0.51710333016568,1680,70,False
