model,site,features,layer,breakdown,cell,accuracy,auc,control_accuracy,selectivity,n,n_groups,pos_frac,converged
starcoder2-3b,sink_arg,hidden,15,structure,assign_chain,0.9880952380952381,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,15,structure,branch_merge,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,15,structure,direct,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,15,structure,helper,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,19,all,all,0.9911764705882353,0.9996539792387544,0.5295900178253119,0.4615864527629234,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,19,family,command_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,19,family,dynamic_exec,0.9732142857142857,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,19,family,sql_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,19,structure,assign_chain,0.9761904761904762,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,19,structure,branch_merge,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,19,structure,direct,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,19,structure,helper,0.9880952380952381,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,23,all,all,0.9881461675579324,0.9996539792387544,0.5472370766488414,0.44090909090909103,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,23,family,command_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,23,family,dynamic_exec,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,23,family,sql_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,23,structure,assign_chain,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,23,structure,branch_merge,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,23,structure,direct,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,23,structure,helper,0.9880952380952381,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,27,all,all,0.9910873440285204,0.9994809688581314,0.5383244206773619,0.45276292335115853,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,27,family,command_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,27,family,dynamic_exec,0.9732142857142857,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,27,family,sql_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,27,structure,assign_chain,0.9761904761904762,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,27,structure,branch_merge,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,27,structure,direct,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,27,structure,helper,0.9880952380952381,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,29,all,all,0.9881461675579324,0.9993079584775086,0.5321746880570409,0.45597147950089145,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,29,family,command_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,29,family,dynamic_exec,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,29,family,sql_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,29,structure,assign_chain,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,29,structure,branch_merge,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,29,structure,direct,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,29,structure,helper,0.9880952380952381,,,,67,168,0.5,True
starcoder2-3b,last_token,surface,-1,all,all,0.5028520499108734,0.5008491648158211,0.5148841354723708,-0.012032085561497374,67,168,0.5,True
starcoder2-3b,last_token,surface,-1,family,command_exec,0.49107142857142855,,,,67,168,0.5,True
starcoder2-3b,last_token,surface,-1,family,dynamic_exec,0.49107142857142855,,,,67,168,0.5,True
starcoder2-3b,last_token,surface,-1,family,sql_exec,0.5267857142857143,,,,67,168,0.5,True
starcoder2-3b,last_token,surface,-1,structure,assign_chain,0.5,,,,67,168,0.5,True
starcoder2-3b,last_token,surface,-1,structure,branch_merge,0.5,,,,67,168,0.5,True
starcoder2-3b,last_token,surface,-1,structure,direct,0.5119047619047619,,,,67,168,0.5,True
starcoder2-3b,last_token,surface,-1,structure,helper,0.5,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,-1,all,all,0.5,0.5,0.5,0.0,67,168,0.5,True
starcoder2-3b,last_token,hidden,-1,family,command_exec,0.5,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,-1,family,dynamic_exec,0.5,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,-1,family,sql_exec,0.5,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,-1,structure,assign_chain,0.5,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,-1,structure,branch_merge,0.5,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,-1,structure,direct,0.5,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,-1,structure,helper,0.5,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,0,all,all,0.49144385026737963,0.4858371382907401,0.5529411764705883,-0.061497326203208635,67,168,0.5,True
starcoder2-3b,last_token,hidden,0,family,command_exec,0.48214285714285715,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,0,family,dynamic_exec,0.48214285714285715,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,0,family,sql_exec,0.5089285714285714,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,0,structure,assign_chain,0.5119047619047619,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,0,structure,branch_merge,0.5,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,0,structure,direct,0.4523809523809524,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,0,structure,helper,0.5,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,3,all,all,0.717379679144385,0.760756987935346,0.5770944741532976,0.14028520499108743,67,168,0.5,True
starcoder2-3b,last_token,hidden,3,family,command_exec,0.6964285714285714,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,3,family,dynamic_exec,0.7232142857142857,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,3,family,sql_exec,0.7321428571428571,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,3,structure,assign_chain,0.5238095238095238,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,3,structure,branch_merge,0.8452380952380952,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,3,structure,direct,0.8333333333333334,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,3,structure,helper,0.6666666666666666,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,7,all,all,0.8303030303030303,0.9173599791561415,0.5686274509803921,0.2616755793226382,67,168,0.5,True
starcoder2-3b,last_token,hidden,7,family,command_exec,0.8035714285714286,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,7,family,dynamic_exec,0.8392857142857143,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,7,family,sql_exec,0.8482142857142857,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,7,structure,assign_chain,0.6785714285714286,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,7,structure,branch_merge,0.8928571428571429,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,7,structure,direct,1.0,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,7,structure,helper,0.75,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,11,all,all,0.9732620320855616,0.9963561376584341,0.5829768270944742,0.39028520499108743,67,168,0.5,True
starcoder2-3b,last_token,hidden,11,family,command_exec,0.9910714285714286,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,11,family,dynamic_exec,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,11,family,sql_exec,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,11,structure,assign_chain,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,11,structure,branch_merge,0.9880952380952381,,,,67,168,0.5,True
