model,lens,basis,arm,layer,site,condition,n_candidates,n,sv1_share,sv1_floor,mean_pairwise_cosine,resultant_length,mean_norm,dropped_zero_norm
deepseek-coder-1.3b,jlens,frozen_pool,main,-1,sink_arg,clean_heldout,196,18,0.3415385965790531,0.05555555555555555,-0.039249766863335374,0.1359644486464709,5.454056252481111,54
deepseek-coder-1.3b,jlens,frozen_pool,same_label_unsafe,-1,sink_arg,clean_heldout,196,43,0.4526465792171428,0.023255813953488372,-0.023157809112089933,0.02523011180473824,5.900313677071984,29
deepseek-coder-1.3b,jlens,frozen_pool,same_label_safe,-1,sink_arg,clean_heldout,196,43,0.4352237190133782,0.023255813953488372,-0.02298742547167536,0.02833689771044061,5.852711159790954,29
deepseek-coder-1.3b,jlens,frozen_pool,main,-1,last_token,clean_heldout,196,0,,,,,,72
deepseek-coder-1.3b,jlens,frozen_pool,same_label_unsafe,-1,last_token,clean_heldout,196,0,,,,,,72
deepseek-coder-1.3b,jlens,frozen_pool,same_label_safe,-1,last_token,clean_heldout,196,0,,,,,,72
deepseek-coder-1.3b,jlens,frozen_pool,main,0,sink_arg,clean_heldout,196,72,0.28776499458714316,0.013888888888888888,0.0020715152986427133,0.12622057336946746,2.727136521807703,0
deepseek-coder-1.3b,jlens,frozen_pool,same_label_unsafe,0,sink_arg,clean_heldout,196,72,0.2993689111793915,0.013888888888888888,-0.011769728563300115,0.04777686446238213,6.04304361614827,0
deepseek-coder-1.3b,jlens,frozen_pool,same_label_safe,0,sink_arg,clean_heldout,196,72,0.28133914700013296,0.013888888888888888,-0.009174047260271346,0.0695863417035043,5.961430786739729,0
deepseek-coder-1.3b,jlens,frozen_pool,main,0,last_token,clean_heldout,196,72,0.4438976919270632,0.013888888888888888,0.0043882048589624495,0.1349672051208868,0.15198829241556733,0
deepseek-coder-1.3b,jlens,frozen_pool,same_label_unsafe,0,last_token,clean_heldout,196,72,0.4047357905961608,0.013888888888888888,-0.01186786673344701,0.046753113670116794,0.5104965647202406,0
deepseek-coder-1.3b,jlens,frozen_pool,same_label_safe,0,last_token,clean_heldout,196,72,0.40455611747560855,0.013888888888888888,-0.01192890682163001,0.046104894845020575,0.5109051568655242,0
deepseek-coder-1.3b,jlens,frozen_pool,main,3,sink_arg,clean_heldout,196,72,0.1904422168752084,0.013888888888888888,0.018208992176430735,0.17845161359932427,3.392974364604915,0
deepseek-coder-1.3b,jlens,frozen_pool,same_label_unsafe,3,sink_arg,clean_heldout,196,72,0.24112696457354818,0.013888888888888888,-0.011726863124241076,0.04821720505790033,5.796410673508049,0
deepseek-coder-1.3b,jlens,frozen_pool,same_label_safe,3,sink_arg,clean_heldout,196,72,0.23599067963793313,0.013888888888888888,-0.01203185506369601,0.04499047591768476,5.963650824986607,0
deepseek-coder-1.3b,jlens,frozen_pool,main,3,last_token,clean_heldout,196,72,0.22138728450502673,0.013888888888888888,0.001739632336112253,0.12491741137558592,0.41515132677090993,0
deepseek-coder-1.3b,jlens,frozen_pool,same_label_unsafe,3,last_token,clean_heldout,196,72,0.32556886574862304,0.013888888888888888,-0.01374116200099376,0.018400444563410875,2.6581558670122902,0
deepseek-coder-1.3b,jlens,frozen_pool,same_label_safe,3,last_token,clean_heldout,196,72,0.33344009223836396,0.013888888888888888,-0.013558691505098242,0.02277087050561916,2.6600735028868883,0
deepseek-coder-1.3b,jlens,frozen_pool,main,7,sink_arg,clean_heldout,196,72,0.25442052348232974,0.013888888888888888,0.15395725332712637,0.40707228723031036,6.341696888325114,0
deepseek-coder-1.3b,jlens,frozen_pool,same_label_unsafe,7,sink_arg,clean_heldout,196,72,0.26854695459107236,0.013888888888888888,-0.01287602761672534,0.03452093551835623,8.58771144943388,0
deepseek-coder-1.3b,jlens,frozen_pool,same_label_safe,7,sink_arg,clean_heldout,196,72,0.2591842783412923,0.013888888888888888,-0.012648233604179673,0.03763409618787694,9.048027785192177,0
deepseek-coder-1.3b,jlens,frozen_pool,main,7,last_token,clean_heldout,196,72,0.26658201752809446,0.013888888888888888,0.16619465541859108,0.42163406551705945,2.657214044179685,0
deepseek-coder-1.3b,jlens,frozen_pool,same_label_unsafe,7,last_token,clean_heldout,196,72,0.3410306056545223,0.013888888888888888,-0.013715150065074283,0.019084732619632387,6.417295041316527,0
