layer,task,accuracy,f1,auc,control_accuracy,selectivity,n_train,n_test,n_groups,pos_frac,converged,notes,tag,tag_value
7,binding,0.999826056705514,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_0_10
7,binding,0.9991323963213604,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_10_50
7,binding,1.0,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_50_200
7,defuse_edge,1.0,1.0,1.0,0.5787907735041423,0.4212092264958577,9832,2458,500,0.2117809779513465,True,,,
7,defuse_edge,1.0,,,,,9832,2458,500,0.2117809779513465,True,,stratum,positive
7,defuse_edge,1.0,,,,,9832,2458,500,0.2117809779513465,True,,stratum,same_name_diff_binding
7,defuse_edge,1.0,,,,,9832,2458,500,0.2117809779513465,True,,stratum,diff_name
7,defuse_edge,1.0,,,,,9832,2458,500,0.2117809779513465,True,,stratum,distance_matched
7,defuse_edge,1.0,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_10_50
7,defuse_edge,1.0,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_0_10
7,defuse_edge,1.0,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_50_200
7,control_dep,1.0,1.0,1.0,0.5262206702688371,0.4737793297311629,925,231,209,0.4044943820224719,True,,,
7,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,stratum,positive
7,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,stratum,non_dependent
7,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_0_10
7,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_10_50
7,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_50_200
7,taint_state,1.0,1.0,1.0,0.5325,0.4675,320,80,200,0.5,True,,,
11,lexical_token_type,1.0,1.0,0.0,0.16563724295506108,0.8343627570449389,16006,4001,419,0.0,False,,,
11,binding,0.9990818210399025,0.9984101462493504,0.9999832205643682,0.6065093520528813,0.39257246898702125,13931,3482,500,0.17445733318019985,True,,,
11,binding,1.0,,,,,13931,3482,500,0.17445733318019985,True,,stratum,positive
11,binding,0.9989466292134831,,,,,13931,3482,500,0.17445733318019985,True,,stratum,same_name_diff_binding
11,binding,0.999438202247191,,,,,13931,3482,500,0.17445733318019985,True,,stratum,diff_name
11,binding,0.9969558599695586,,,,,13931,3482,500,0.17445733318019985,True,,stratum,distance_matched
11,binding,0.999826056705514,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_0_10
11,binding,0.9986985944820406,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_10_50
11,binding,1.0,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_50_200
11,defuse_edge,0.999674630411552,0.9995130803047957,1.0,0.5809173630371381,0.4187572673744139,9832,2458,500,0.2117809779513465,True,,,
11,defuse_edge,1.0,,,,,9832,2458,500,0.2117809779513465,True,,stratum,positive
11,defuse_edge,0.9978738483345145,,,,,9832,2458,500,0.2117809779513465,True,,stratum,same_name_diff_binding
11,defuse_edge,0.9998493522145224,,,,,9832,2458,500,0.2117809779513465,True,,stratum,diff_name
11,defuse_edge,1.0,,,,,9832,2458,500,0.2117809779513465,True,,stratum,distance_matched
11,defuse_edge,0.9996551724137931,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_10_50
11,defuse_edge,1.0,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_0_10
11,defuse_edge,0.9952153110047847,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_50_200
11,control_dep,1.0,1.0,1.0,0.47442803455363264,0.5255719654463673,925,231,209,0.4044943820224719,True,,,
11,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,stratum,positive
11,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,stratum,non_dependent
11,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_0_10
11,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_10_50
11,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_50_200
11,taint_state,1.0,1.0,1.0,0.515,0.485,320,80,200,0.5,True,,,
15,lexical_token_type,1.0,1.0,0.0,0.16829035999226002,0.83170964000774,16006,4001,419,0.0,False,,,
15,binding,0.9991385989238006,0.998508828862918,0.9999986303671701,0.6047963819986885,0.3943422169251122,13931,3482,500,0.17445733318019985,True,,,
15,binding,1.0,,,,,13931,3482,500,0.17445733318019985,True,,stratum,positive
15,binding,0.9992977528089888,,,,,13931,3482,500,0.17445733318019985,True,,stratum,same_name_diff_binding
15,binding,0.9995505617977528,,,,,13931,3482,500,0.17445733318019985,True,,stratum,diff_name
15,binding,0.9965753424657534,,,,,13931,3482,500,0.17445733318019985,True,,stratum,distance_matched
15,binding,1.0,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_0_10
15,binding,0.9986985944820406,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_10_50
15,binding,1.0,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_50_200
15,defuse_edge,0.9991048971251223,0.998668735888548,1.0,0.5803351200654533,0.418769777059669,9832,2458,500,0.2117809779513465,True,,,
15,defuse_edge,1.0,,,,,9832,2458,500,0.2117809779513465,True,,stratum,positive
15,defuse_edge,0.9985825655563431,,,,,9832,2458,500,0.2117809779513465,True,,stratum,same_name_diff_binding
15,defuse_edge,0.9998493522145224,,,,,9832,2458,500,0.2117809779513465,True,,stratum,diff_name
