level,arm,layer,readout,reversal,reversal_ci_lo,reversal_ci_hi,beats_chance,mean_delta,delta_ci_lo,delta_ci_hi,delta_excludes_zero,n,n_bases,split,family,pair_index,inner_word,outer_word
all,ab,8,gram_random,0.5,0.4949206349206349,0.5050793650793651,False,-0.0009386474764092812,-0.0014567708506947382,-0.00043136005980953134,False,2520,280,test,,,,
all,ab,8,jlens,0.40634920634920635,0.39206349206349206,0.4206448412698412,False,-0.005997700657370308,-0.007004137894199673,-0.005007420724409352,False,2520,280,test,,,,
all,ab,8,logit,0.5753968253968254,0.5567361111111111,0.5928571428571429,True,0.7119575926590533,0.654607528163682,0.7718287658756451,True,2520,280,test,,,,
all,ab,12,gram_random,0.5126190476190476,0.5066666666666667,0.5183333333333333,True,0.008395503212121272,0.007417650112734428,0.00941602871903137,True,2520,280,test,,,,
all,ab,12,jlens,0.7591269841269841,0.7428571428571429,0.7753968253968254,True,0.06660410674688007,0.06382469590496463,0.06952290121728318,True,2520,280,test,,,,
all,ab,12,logit,0.7738095238095238,0.7623015873015873,0.7857142857142857,True,3.3639194145798683,3.2518121778734383,3.4820312371790885,True,2520,280,test,,,,
all,ab,16,gram_random,0.517936507936508,0.5126984126984127,0.5231746031746032,True,0.00877142210579699,0.007257310596279918,0.010266912489094669,True,2520,280,test,,,,
all,ab,16,jlens,0.6861111111111111,0.6706349206349206,0.7015873015873015,True,0.13259012781763596,0.12660288149065943,0.13840829006895158,True,2520,280,test,,,,
all,ab,16,logit,0.7293650793650793,0.7142857142857143,0.7448412698412699,True,4.4368557371790445,4.286633231875206,4.59217205965034,True,2520,280,test,,,,
all,ab,20,gram_random,0.5145238095238095,0.5085714285714286,0.5206349206349207,True,-0.0014571179842783346,-0.004858357456542316,0.002296342461672981,False,2520,280,test,,,,
all,ab,20,jlens,0.5678571428571428,0.5551488095238095,0.580952380952381,True,0.15510252757914483,0.14427806406666244,0.16556404594198934,True,2520,280,test,,,,
all,ab,20,logit,0.578968253968254,0.5654761904761905,0.5928571428571429,True,4.010627025602356,3.7931357800936887,4.229438956894335,True,2520,280,test,,,,
all,ab,24,gram_random,0.5094444444444445,0.5032519841269841,0.5155575396825397,True,-0.014257142439277639,-0.01941817258267353,-0.00933278418973547,False,2520,280,test,,,,
all,ab,24,jlens,0.6067460317460317,0.5900694444444444,0.6242063492063492,True,0.14221257607319526,0.12765020483084732,0.15655759599806354,True,2520,280,test,,,,
