model,layer,n_readings,median_rho,median_abs_rho_minus_one,max_abs_rho_minus_one,conserving
deepseek-coder-1.3b,0,288,1.0000000359099848,1.1547989364757427e-07,2.2492184445388475e-05,1
deepseek-coder-1.3b,3,288,1.0000000574399037,9.157510183488426e-08,3.3868408064074984e-05,1
deepseek-coder-1.3b,7,288,1.0000000810042158,1.126182878063986e-07,4.839346901475139e-05,1
deepseek-coder-1.3b,11,288,1.0000000915451643,1.1999089405412278e-07,4.516929245346191e-05,1
deepseek-coder-1.3b,15,288,1.0000001123798903,1.2476201072253446e-07,3.7631945016824986e-05,1
deepseek-coder-1.3b,19,288,1.000000079762585,9.957018842765564e-08,5.038139731428082e-05,1
