model,layer,site,condition,lens_a,lens_b,cosine,spearman,n_tokens
starcoder2-3b,3,last_token,encode_only,jlens,rlens,0.725119926666053,0.7029636063718733,196
starcoder2-3b,3,last_token,encode_only,logit,rlens,0.18297184030739214,0.20960402903840178,196
starcoder2-3b,3,last_token,flatten_only,jlens,logit,-0.11793081462555215,-0.13710683804955018,196
starcoder2-3b,3,last_token,flatten_only,jlens,rlens,0.7404105648239859,0.7475890317079585,196
starcoder2-3b,3,last_token,flatten_only,logit,rlens,-0.07271172442515383,-0.1251870681892437,196
starcoder2-3b,3,last_token,normalize,jlens,logit,0.0997790412267878,0.13052936910804933,196
starcoder2-3b,3,last_token,normalize,jlens,rlens,0.7330702672499668,0.7007307413398784,196
starcoder2-3b,3,last_token,normalize,logit,rlens,0.1770905454275,0.19565858362087513,196
starcoder2-3b,3,last_token,opaque_only,jlens,logit,0.13271130148191593,0.1651873869422818,196
starcoder2-3b,3,last_token,opaque_only,jlens,rlens,0.7303424415560303,0.7135541760632407,196
starcoder2-3b,3,last_token,opaque_only,logit,rlens,0.21738157536365968,0.22734741690506743,196
starcoder2-3b,3,last_token,rename_cumulative,jlens,logit,0.13332098715222607,0.1413446596912877,196
starcoder2-3b,3,last_token,rename_cumulative,jlens,rlens,0.609295895277058,0.6052721752504203,196
starcoder2-3b,3,last_token,rename_cumulative,logit,rlens,0.2685002926185101,0.2546629585063233,196
starcoder2-3b,3,last_token,rename_only,jlens,logit,0.1982248352321121,0.1921475189060396,196
starcoder2-3b,3,last_token,rename_only,jlens,rlens,0.7005564937968439,0.6712923045047774,196
starcoder2-3b,3,last_token,rename_only,logit,rlens,0.3131868192410828,0.2676872076436979,196
starcoder2-3b,3,last_token,rename_opaque,jlens,logit,-0.07488858007093047,-0.08006916940927095,196
starcoder2-3b,3,last_token,rename_opaque,jlens,rlens,0.762776963675383,0.7499063662950538,196
starcoder2-3b,3,last_token,rename_opaque,logit,rlens,-0.05637102563700846,-0.08402330084708622,196
starcoder2-3b,3,last_token,rename_opaque_encode,jlens,logit,-0.15849569163037916,-0.12704699216664408,196
starcoder2-3b,3,last_token,rename_opaque_encode,jlens,rlens,0.5380596902480465,0.4937086119102074,196
starcoder2-3b,3,last_token,rename_opaque_encode,logit,rlens,0.08461910828298864,0.07195690458924688,196
starcoder2-3b,3,last_token,rename_opaque_encode_flatten,jlens,logit,0.18205232690280426,0.17205332738327664,196
starcoder2-3b,3,last_token,rename_opaque_encode_flatten,jlens,rlens,0.61169999427803,0.6317031771709075,196
starcoder2-3b,3,last_token,rename_opaque_encode_flatten,logit,rlens,0.2715658757682543,0.24889352851644372,196
starcoder2-3b,7,last_token,clean_heldout,jlens,logit,0.2844146675922494,0.2375236076468854,196
starcoder2-3b,7,last_token,clean_heldout,jlens,rlens,0.8214378339912284,0.8093872769724837,196
starcoder2-3b,7,last_token,clean_heldout,logit,rlens,0.24419446835221628,0.2414713640239384,196
starcoder2-3b,7,last_token,encode_only,jlens,logit,0.0285004620807293,0.051389364804883306,196
starcoder2-3b,7,last_token,encode_only,jlens,rlens,0.7208560066491486,0.7119524420467133,196
starcoder2-3b,7,last_token,encode_only,logit,rlens,0.1334356903818205,0.1735036537066994,196
starcoder2-3b,7,last_token,flatten_only,jlens,logit,0.0296397996275622,0.007992732430730981,196
starcoder2-3b,7,last_token,flatten_only,jlens,rlens,0.7929908949279311,0.7645052554407161,196
starcoder2-3b,7,last_token,flatten_only,logit,rlens,0.08401457482244117,0.07936950649060875,196
starcoder2-3b,7,last_token,normalize,jlens,logit,0.028186991563304502,0.045406370279466736,196
starcoder2-3b,7,last_token,normalize,jlens,rlens,0.7161191282220438,0.7102487070579893,196
starcoder2-3b,7,last_token,normalize,logit,rlens,0.12376714084279831,0.1526954553785591,196
starcoder2-3b,7,last_token,opaque_only,jlens,logit,0.034237457264463325,0.06852393436874946,196
starcoder2-3b,7,last_token,opaque_only,jlens,rlens,0.717288895973044,0.7224983863127445,196
starcoder2-3b,7,last_token,opaque_only,logit,rlens,0.13170845998115452,0.17377140625871593,196
starcoder2-3b,7,last_token,rename_cumulative,jlens,logit,0.06518777435801448,0.057531735849357314,196
starcoder2-3b,7,last_token,rename_cumulative,jlens,rlens,0.7113623666836861,0.7196710468646654,196
starcoder2-3b,7,last_token,rename_cumulative,logit,rlens,0.164599814161872,0.17543689088286624,196
starcoder2-3b,7,last_token,rename_only,jlens,logit,0.11379116530809898,0.08035126584800262,196
starcoder2-3b,7,last_token,rename_only,jlens,rlens,0.7321089441524945,0.7513598801488578,196
starcoder2-3b,7,last_token,rename_only,logit,rlens,0.1280761465526819,0.14927523527958628,196
starcoder2-3b,7,last_token,rename_opaque,jlens,logit,0.22082595980647476,0.21323621990772101,196
starcoder2-3b,7,last_token,rename_opaque,jlens,rlens,0.786236367841408,0.757433719290137,196
starcoder2-3b,7,last_token,rename_opaque,logit,rlens,0.22260880247866996,0.21531289595103956,196
starcoder2-3b,7,last_token,rename_opaque_encode,jlens,logit,0.1988465723876353,0.18593183466279914,196
starcoder2-3b,7,last_token,rename_opaque_encode,jlens,rlens,0.6770945919422033,0.6568575731737445,196
starcoder2-3b,7,last_token,rename_opaque_encode,logit,rlens,0.24853087158895884,0.2174851979057926,196
starcoder2-3b,7,last_token,rename_opaque_encode_flatten,jlens,logit,0.05129794950374541,0.06266206599781654,196
starcoder2-3b,7,last_token,rename_opaque_encode_flatten,jlens,rlens,0.744844910825456,0.7183641594083945,196
starcoder2-3b,7,last_token,rename_opaque_encode_flatten,logit,rlens,0.24984112760270955,0.25276000286877737,196
starcoder2-3b,11,last_token,clean_heldout,jlens,logit,0.20588355290450955,0.18704268900062956,196
starcoder2-3b,11,last_token,clean_heldout,jlens,rlens,0.8308834848201608,0.8120695837882206,196
starcoder2-3b,11,last_token,clean_heldout,logit,rlens,0.24167630561900338,0.2307883559515177,196
starcoder2-3b,11,last_token,encode_only,jlens,logit,0.3407460425855484,0.3320354772131422,196
starcoder2-3b,11,last_token,encode_only,jlens,rlens,0.8321950979525068,0.8070970363936283,196
starcoder2-3b,11,last_token,encode_only,logit,rlens,0.4284911785848654,0.4184781136195205,196
starcoder2-3b,11,last_token,flatten_only,jlens,logit,0.2780691636335193,0.27251950370151967,196
starcoder2-3b,11,last_token,flatten_only,jlens,rlens,0.7970948168071655,0.7773414402856028,196
starcoder2-3b,11,last_token,flatten_only,logit,rlens,0.3448574592222988,0.3695144594346915,196
starcoder2-3b,11,last_token,normalize,jlens,logit,0.38399254242736325,0.35742734422937467,196
starcoder2-3b,11,last_token,normalize,jlens,rlens,0.8362519798721197,0.8188048354835883,196
starcoder2-3b,11,last_token,normalize,logit,rlens,0.45323720208681717,0.4324506530452869,196
starcoder2-3b,11,last_token,opaque_only,jlens,logit,0.3460816591499555,0.3312465634438079,196
starcoder2-3b,11,last_token,opaque_only,jlens,rlens,0.8342765427122516,0.8021292702946076,196
starcoder2-3b,11,last_token,opaque_only,logit,rlens,0.4299851716145281,0.4263290009482903,196
starcoder2-3b,11,last_token,rename_cumulative,jlens,logit,0.42691387617088977,0.40507614213197973,196
starcoder2-3b,11,last_token,rename_cumulative,jlens,rlens,0.8163750966053392,0.7789686745451794,196
starcoder2-3b,11,last_token,rename_cumulative,logit,rlens,0.48318933251236484,0.474012861685088,196
starcoder2-3b,11,last_token,rename_only,jlens,logit,0.3279157698846747,0.3117946592928464,196
starcoder2-3b,11,last_token,rename_only,jlens,rlens,0.8315240931807736,0.7936902836105159,196
starcoder2-3b,11,last_token,rename_only,logit,rlens,0.394976191165587,0.3774227223103221,196
starcoder2-3b,11,last_token,rename_opaque,jlens,logit,0.41457101392980045,0.3678617249320658,196
starcoder2-3b,11,last_token,rename_opaque,jlens,rlens,0.853019115598892,0.8341304815561524,196
starcoder2-3b,11,last_token,rename_opaque,logit,rlens,0.509486449403111,0.49517965718110757,196
starcoder2-3b,11,last_token,rename_opaque_encode,jlens,logit,0.3960082071752762,0.38019906127230285,196
starcoder2-3b,11,last_token,rename_opaque_encode,jlens,rlens,0.8321858897099342,0.8239176342149511,196
starcoder2-3b,11,last_token,rename_opaque_encode,logit,rlens,0.4592650407262104,0.44955653483572267,196
starcoder2-3b,11,last_token,rename_opaque_encode_flatten,jlens,logit,0.2337246595684717,0.21668034648455245,196
starcoder2-3b,11,last_token,rename_opaque_encode_flatten,jlens,rlens,0.791640846496035,0.7767756536429489,196
starcoder2-3b,11,last_token,rename_opaque_encode_flatten,logit,rlens,0.2925793603536929,0.2872219875845692,196
starcoder2-3b,15,last_token,clean_heldout,jlens,logit,0.36511225056720376,0.36642255496497705,196
starcoder2-3b,15,last_token,clean_heldout,jlens,rlens,0.9259942200515234,0.9238881495589255,196
starcoder2-3b,15,last_token,clean_heldout,logit,rlens,0.39779057740942037,0.4097490616707441,196
