layer,arm,example,rho,abs_error
-1,all,0,1.0,0.0
-1,all,1,1.0,0.0
-1,all,2,0.9999997019767761,2.980232238769531e-07
-1,all,3,0.9999999403953552,5.960464477539063e-08
-1,all,4,1.0,0.0
-1,all,5,0.9999997615814209,2.384185791015625e-07
-1,all,6,1.0000003576278687,3.5762786865234375e-07
-1,all,7,0.9999998211860657,1.7881393432617188e-07
-1,all,8,1.0000005960464478,5.960464477539062e-07
-1,all,9,1.0000003576278687,3.5762786865234375e-07
-1,no_attn,0,2.0106470584869385,1.0106470584869385
-1,no_attn,1,2.6148478984832764,1.6148478984832764
-1,no_attn,2,2.9067840576171875,1.9067840576171875
-1,no_attn,3,3.125438928604126,2.125438928604126
-1,no_attn,4,2.7726128101348877,1.7726128101348877
-1,no_attn,5,2.5153331756591797,1.5153331756591797
-1,no_attn,6,-1.8103008270263672,2.810300827026367
-1,no_attn,7,13.608198165893555,12.608198165893555
-1,no_attn,8,5.185610294342041,4.185610294342041
-1,no_attn,9,2.4092893600463867,1.4092893600463867
-1,no_ln,0,-0.021770449355244637,1.0217704493552446
-1,no_ln,1,-0.02082902193069458,1.0208290219306946
-1,no_ln,2,-0.023847995325922966,1.023847995325923
-1,no_ln,3,-0.05903047323226929,1.0590304732322693
-1,no_ln,4,-0.030993351712822914,1.030993351712823
-1,no_ln,5,-0.04490894451737404,1.044908944517374
-1,no_ln,6,0.1222749873995781,0.8777250126004219
-1,no_ln,7,0.11928001791238785,0.8807199820876122
-1,no_ln,8,0.014421854168176651,0.9855781458318233
-1,no_ln,9,-0.01894344761967659,1.0189434476196766
-1,no_identity,0,0.8874385952949524,0.11256140470504761
-1,no_identity,1,0.686302900314331,0.31369709968566895
-1,no_identity,2,0.6932371854782104,0.30676281452178955
-1,no_identity,3,0.6790935397148132,0.32090646028518677
-1,no_identity,4,0.6975255608558655,0.3024744391441345
-1,no_identity,5,0.6657575964927673,0.33424240350723267
-1,no_identity,6,0.8479989767074585,0.1520010232925415
-1,no_identity,7,1.0961309671401978,0.09613096714019775
-1,no_identity,8,0.7733837962150574,0.22661620378494263
-1,no_identity,9,0.6979859471321106,0.3020140528678894
-1,no_half,0,17.249954223632812,16.249954223632812
-1,no_half,1,12.73286247253418,11.73286247253418
-1,no_half,2,12.679369926452637,11.679369926452637
-1,no_half,3,14.941739082336426,13.941739082336426
-1,no_half,4,13.509082794189453,12.509082794189453
-1,no_half,5,13.592205047607422,12.592205047607422
-1,no_half,6,23.996034622192383,22.996034622192383
-1,no_half,7,19.410329818725586,18.410329818725586
-1,no_half,8,17.969009399414062,16.969009399414062
-1,no_half,9,18.346654891967773,17.346654891967773
-1,none,0,-0.23051652312278748,1.2305165231227875
-1,none,1,-0.05855536460876465,1.0585553646087646
-1,none,2,-0.09623327851295471,1.0962332785129547
-1,none,3,-0.14474913477897644,1.1447491347789764
-1,none,4,-0.006397019140422344,1.0063970191404223
-1,none,5,0.009026942774653435,0.9909730572253466
-1,none,6,0.5364052057266235,0.46359479427337646
-1,none,7,-1.2317315340042114,2.2317315340042114
-1,none,8,-0.019539987668395042,1.019539987668395
-1,none,9,-0.6846422553062439,1.684642255306244
0,all,0,1.0000001192092896,1.1920928955078125e-07
0,all,1,1.0,0.0
0,all,2,0.9999997615814209,2.384185791015625e-07
0,all,3,1.0000001192092896,1.1920928955078125e-07
0,all,4,1.0,0.0
