model,layer,target_mode,n_readings,median_rho,median_abs_rho_minus_one,max_abs_rho_minus_one,conserving
deepseek-coder-1.3b,0,inner,800,1.0000001627979844,2.089317474585073e-07,9.447157416353491e-07,1
deepseek-coder-1.3b,0,margin,800,0.9999943281125435,1.59257737533669e-05,0.005897535523843089,1
deepseek-coder-1.3b,0,outer,800,1.0000002075339602,2.2878234096079808e-07,9.504825058126443e-07,1
deepseek-coder-1.3b,3,inner,800,1.0000001733682549,1.8394384371234196e-07,8.393736787848383e-07,1
deepseek-coder-1.3b,3,margin,800,0.9999947057240484,1.2124487859033195e-05,0.006726659635774013,1
deepseek-coder-1.3b,3,outer,800,1.000000236073233,2.3842062835122135e-07,9.132020681867914e-07,1
deepseek-coder-1.3b,7,inner,800,1.0000001501830726,1.665522147975551e-07,8.490124230320362e-07,1
deepseek-coder-1.3b,7,margin,800,0.9999948026949835,1.2390884488011622e-05,0.002452680950455033,1
deepseek-coder-1.3b,7,outer,800,1.0000002039086209,2.0661653232778576e-07,7.733100408913174e-07,1
deepseek-coder-1.3b,11,inner,800,1.0000001447246678,1.564207017246133e-07,7.60602329119564e-07,1
deepseek-coder-1.3b,11,margin,800,0.999994591644394,1.1461233907938961e-05,0.0035506632990518483,1
deepseek-coder-1.3b,11,outer,800,1.0000001889914427,1.936807795255291e-07,7.482090484955961e-07,1
deepseek-coder-1.3b,15,inner,800,1.0000001550041646,1.6792363621842554e-07,6.83780359445052e-07,1
deepseek-coder-1.3b,15,margin,800,0.9999955416907036,1.0771322779046244e-05,0.0023069771314112586,1
deepseek-coder-1.3b,15,outer,800,1.0000001957582914,1.983615998124577e-07,6.498179827563177e-07,1
deepseek-coder-1.3b,19,inner,800,1.0000001604362914,1.6403508074080975e-07,6.103618945818567e-07,1
deepseek-coder-1.3b,19,margin,800,0.9999959711868875,1.0391881913929257e-05,0.0011342366534279336,1
deepseek-coder-1.3b,19,outer,800,1.0000002124537226,2.1279645623373256e-07,7.177952268122567e-07,1
