layer,task,accuracy,f1,auc,control_accuracy,selectivity,n_train,n_test,n_groups,pos_frac,converged,control_converged,notes,tag,tag_value,features
-1,control_dep,0.5815638371354991,0.5494828958477528,0.6076134944902185,0.5438621675746227,0.037701669560876394,2058,514,122,0.2938204430625729,True,True,,,,hidden
-1,control_dep,0.5357142857142857,,,,,2058,514,122,0.2938204430625729,True,True,,stratum,positive,hidden
-1,control_dep,0.6575840145322435,,,,,2058,514,122,0.2938204430625729,True,True,,stratum,non_dependent,hidden
-1,control_dep,0.5181564245810056,,,,,2058,514,122,0.2938204430625729,True,True,,stratum,indent_matched,hidden
-1,control_dep,0.6403508771929824,,,,,2058,514,122,0.2938204430625729,True,True,,distance,dist_0_10,hidden
-1,control_dep,0.5872844827586207,,,,,2058,514,122,0.2938204430625729,True,True,,distance,dist_10_50,hidden
-1,control_dep,0.5519779208831647,,,,,2058,514,122,0.2938204430625729,True,True,,distance,dist_50_200,hidden
-1,control_dep,0.6333333333333333,,,,,2058,514,122,0.2938204430625729,True,True,,distance,dist_200_100000,hidden
0,lexical_token_type,0.9983522334557364,0.9978577052567674,0.0,0.19172287859918138,0.8066293548565551,16346,4086,108,0.0,True,True,,,,hidden
0,binding,0.911356274898357,0.8822619638892212,0.9743813471533314,0.583687246736977,0.32766902816138,16142,4035,182,0.21255823173753594,True,True,,,,hidden
0,binding,0.9696899044066216,,,,,16142,4035,182,0.21255823173753594,True,True,,stratum,positive,hidden
0,binding,0.9556388914296168,,,,,16142,4035,182,0.21255823173753594,True,True,,stratum,diff_name,hidden
0,binding,0.921859296482412,,,,,16142,4035,182,0.21255823173753594,True,True,,stratum,distance_matched,hidden
0,binding,0.10860655737704918,,,,,16142,4035,182,0.21255823173753594,True,True,,stratum,same_name_diff_binding,hidden
0,binding,0.9175662414131501,,,,,16142,4035,182,0.21255823173753594,True,True,,distance,dist_10_50,hidden
0,binding,0.9047780031552851,,,,,16142,4035,182,0.21255823173753594,True,True,,distance,dist_50_200,hidden
0,binding,0.912,,,,,16142,4035,182,0.21255823173753594,True,True,,distance,dist_0_10,hidden
0,binding,0.9137630662020906,,,,,16142,4035,182,0.21255823173753594,True,True,,distance,dist_200_100000,hidden
0,defuse_edge,0.9032792663606324,0.8724723155639879,0.9666372358388845,0.5924626936123987,0.3108165727482337,8111,2027,199,0.2114606963211362,True,True,,,,hidden
0,defuse_edge,0.9692164179104478,,,,,8111,2027,199,0.2114606963211362,True,True,,stratum,positive,hidden
0,defuse_edge,0.9381001371742113,,,,,8111,2027,199,0.2114606963211362,True,True,,stratum,diff_name,hidden
0,defuse_edge,0.0847457627118644,,,,,8111,2027,199,0.2114606963211362,True,True,,stratum,same_name_diff_binding,hidden
0,defuse_edge,0.9308101714961561,,,,,8111,2027,199,0.2114606963211362,True,True,,stratum,distance_matched,hidden
0,defuse_edge,0.9030291109362707,,,,,8111,2027,199,0.2114606963211362,True,True,,distance,dist_50_200,hidden
0,defuse_edge,0.9266148123097734,,,,,8111,2027,199,0.2114606963211362,True,True,,distance,dist_10_50,hidden
0,defuse_edge,0.8929912390488111,,,,,8111,2027,199,0.2114606963211362,True,True,,distance,dist_200_100000,hidden
0,defuse_edge,0.81,,,,,8111,2027,199,0.2114606963211362,True,True,,distance,dist_0_10,hidden
0,control_dep,0.6269683872991108,0.5901017754138718,0.6601351430435501,0.5543840458533451,0.07258434144576564,2058,514,122,0.2938204430625729,True,True,,,,hidden
0,control_dep,0.5648148148148148,,,,,2058,514,122,0.2938204430625729,True,True,,stratum,positive,hidden
0,control_dep,0.7148047229791099,,,,,2058,514,122,0.2938204430625729,True,True,,stratum,non_dependent,hidden
0,control_dep,0.5418994413407822,,,,,2058,514,122,0.2938204430625729,True,True,,stratum,indent_matched,hidden
0,control_dep,0.6710526315789473,,,,,2058,514,122,0.2938204430625729,True,True,,distance,dist_0_10,hidden
0,control_dep,0.6293103448275862,,,,,2058,514,122,0.2938204430625729,True,True,,distance,dist_10_50,hidden
0,control_dep,0.6237350505979761,,,,,2058,514,122,0.2938204430625729,True,True,,distance,dist_50_200,hidden
0,control_dep,0.5666666666666667,,,,,2058,514,122,0.2938204430625729,True,True,,distance,dist_200_100000,hidden
3,lexical_token_type,0.9890593869551196,0.9825673960991888,0.0,0.17959054109774644,0.8094688458573732,16346,4086,108,0.0,True,True,,,,hidden
3,binding,0.9130564562809736,0.8845261991247296,0.9827958018760639,0.5816287932169565,0.33142766306401716,16142,4035,182,0.21255823173753594,True,True,,,,hidden
3,binding,0.9785497785031476,,,,,16142,4035,182,0.21255823173753594,True,True,,stratum,positive,hidden
3,binding,0.9378029817982255,,,,,16142,4035,182,0.21255823173753594,True,True,,stratum,diff_name,hidden
3,binding,0.907537688442211,,,,,16142,4035,182,0.21255823173753594,True,True,,stratum,distance_matched,hidden
